项目名称,路径,类别,子类别,大小(MB),文件数,目录数,README存在,包含代码,包含文档,包含图片,包含模型,编程语言,最后修改时间,优先级,复杂度,迁移难度,描述,标签
workflows,.github\workflows,infrastructure,workflows,0.01,2,0,否,是,否,否,否,"JSON, YAML",2025-09-18T02:25:47.434315,low,low,easy,workflows类基础设施,"JSON, YAML, workflows, infrastructure, code"
documents,.trae\documents,docs,other,0.02,2,0,否,是,是,否,否,Markdown,2025-09-18T02:01:49.968775,medium,low,easy,other类文档,"docs, documentation, Markdown, other, code"
rules,.trae\rules,other,unknown,0.01,1,0,否,是,是,否,否,Markdown,2025-09-18T01:59:10.033281,low,low,easy,其他类型项目,"documentation, unknown, Markdown, other, code"
migration_20250918_021003,backup\migration_20250918_021003,other,unknown,231.13,284,99,是,是,是,否,否,"JSON, Makefile, Markdown, Python, YAML",2025-09-18T02:10:10.999932,low,high,hard,其他类型项目,"JSON, Makefile, documentation, unknown, Markdown, other, code"
2024,backup\migration_20250918_021003\competitions\2024,competitions,other,76.44,91,29,是,是,是,否,否,Markdown,2025-08-25T21:19:21.290000,high,medium,hard,🏆 2024年度竞赛项目总览,"competitions, documentation, Markdown, other, code"
projects,backup\migration_20250918_021003\projects,projects,other,12.81,72,33,是,是,是,否,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.561754,high,high,hard,项目目录 (Projects),"Makefile, Python, documentation, projects, Markdown, other, code"
ai,backup\migration_20250918_021003\projects\ai,projects,ai,0.31,6,2,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.528464,low,low,easy,🤖 人工智能项目 (AI Projects),"documentation, YAML, Markdown, projects, code, ai"
embedded,backup\migration_20250918_021003\projects\embedded,projects,embedded,3.58,15,4,是,是,是,否,否,Markdown,2025-08-25T21:19:21.531066,medium,low,medium,嵌入式系统项目 (Embedded Projects),"documentation, Markdown, projects, code, embedded"
robotics,backup\migration_20250918_021003\projects\robotics,projects,robotics,0.01,3,4,是,是,是,否,否,Markdown,2025-09-08T23:52:11.647972,low,low,easy,机器人技术项目 (Robotics Projects),"robotics, documentation, projects, Markdown, code"
templates,backup\migration_20250918_021003\projects\templates,projects,templates,0.03,8,3,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.559951,low,low,easy,项目模板 (Project Templates),"documentation, YAML, projects, Markdown, templates, code"
科研「横向项目」,backup\migration_20250918_021003\projects\科研「横向项目」,projects,research,8.88,39,15,是,是,是,是,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.629807,medium,medium,hard,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
models,backup\migration_20250918_021003\shared\models,shared,models,48.37,9,0,是,是,是,否,是,Markdown,2025-08-25T21:19:22.254011,low,medium,medium,📐 3D模型资源库,"documentation, shared, Markdown, models, code"
2024,competitions\2024,competitions,other,76.44,91,29,是,是,是,否,否,Markdown,2025-08-25T21:19:21.290000,high,medium,hard,🏆 2024年度竞赛项目总览,"competitions, documentation, Markdown, other, code"
electronics-competition,competitions\2024\electronics-competition,competitions,electronics,32.34,21,4,是,是,是,否,否,Markdown,2025-08-25T21:19:20.925825,high,medium,medium,⚡ 电子设计竞赛项目,"competitions, documentation, Markdown, code, electronics"
2024电赛预选_EB25-SIG,competitions\2024\electronics-competition\2024电赛预选_EB25-SIG,competitions,electronics,32.32,20,3,是,是,是,否,否,Markdown,2025-08-25T21:19:20.781412,high,medium,medium,Nearlink EB25 SIG,"competitions, documentation, Markdown, code, electronics"
energy-saving,competitions\2024\energy-saving,competitions,energy,34.39,36,10,是,是,是,否,否,Markdown,2025-08-25T21:19:21.236176,high,medium,medium,🌱 节能减排竞赛项目,"energy, competitions, documentation, Markdown, code"
2024节能减排大赛_Nearlink小车,competitions\2024\energy-saving\2024节能减排大赛_Nearlink小车,competitions,energy,34.37,35,9,是,是,是,否,否,Markdown,2025-08-25T21:19:21.235176,high,medium,medium,节能减排大赛,"energy, competitions, documentation, Markdown, code"
huawei-cloud-ai,competitions\2024\huawei-cloud-ai,competitions,ai,0.02,3,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.240180,low,low,easy,🤖 人工智能竞赛项目,"competitions, documentation, Markdown, code, ai"
2024华为云（化工行业人工智能应用）,competitions\2024\huawei-cloud-ai\2024华为云（化工行业人工智能应用）,competitions,ai,0.01,2,1,是,是,是,否,否,Markdown,2025-08-25T21:19:21.239176,low,low,easy,**2024华为云（化工行业人工智能应用）**,"competitions, documentation, Markdown, code, ai"
iot-design-huawei,competitions\2024\iot-design-huawei,competitions,iot,2.17,8,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.261533,medium,low,easy,🌐 物联网设计竞赛项目,"competitions, iot, documentation, Markdown, code"
2024物联网设计竞赛_Huawei数通,competitions\2024\iot-design-huawei\2024物联网设计竞赛_Huawei数通,competitions,iot,2.16,7,1,是,是,是,是,否,Markdown,2025-08-25T21:19:21.261533,medium,low,easy,iot类竞赛项目,"competitions, iot, documentation, Markdown, code"
robocon,competitions\2024\robocon,competitions,robotics,5.73,12,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.290000,medium,low,medium,🤖 机器人竞赛项目,"competitions, robotics, documentation, Markdown, code"
2024全国机器人竞赛_ROBOCON,competitions\2024\robocon\2024全国机器人竞赛_ROBOCON,competitions,robotics,5.73,11,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.277000,medium,low,medium,**2024全国机器人竞赛_ROBOCON**,"competitions, robotics, documentation, Markdown, code"
smart-car-outdoor,competitions\2024\smart-car-outdoor,competitions,robotics,1.79,10,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.305243,medium,low,easy,🚗 智能车竞赛项目,"competitions, robotics, documentation, Markdown, code"
2024智能车室外赛比赛,competitions\2024\smart-car-outdoor\2024智能车室外赛比赛,competitions,robotics,1.78,9,1,是,是,是,是,否,Markdown,2025-08-25T21:19:21.304242,medium,low,easy,robotics类竞赛项目,"competitions, robotics, documentation, Markdown, code"
2025节能减排大赛_Duma人形机器人,competitions\2025\energy-saving\2025节能减排大赛_Duma人形机器人,competitions,energy,0.00,4,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.307243,low,low,easy,节能减排国赛,"energy, competitions, documentation, Markdown, code"
2025全国机器人竞赛_ROBOCON,competitions\2025\robocon\2025全国机器人竞赛_ROBOCON,competitions,robotics,39.02,37,12,是,是,是,是,否,Markdown,2025-08-25T21:19:21.525803,high,medium,medium,robotics类竞赛项目,"competitions, robotics, documentation, Markdown, code"
2025 交通设计大赛_开源,competitions\2025\traffic-design\2025 交通设计大赛_开源,competitions,iot,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.526464,low,low,easy,基于星闪模块的低功耗人形机器人交通场景通信策略,"competitions, iot, documentation, Markdown, code"
electronics,competitions_new\2024\electronics,competitions,electronics,32.34,21,4,是,是,是,否,否,Markdown,2025-08-25T21:19:20.925825,high,medium,medium,⚡ 电子设计竞赛项目,"competitions, documentation, Markdown, code, electronics"
2024电赛预选_EB25-SIG,competitions_new\2024\electronics\2024电赛预选_EB25-SIG,competitions,electronics,32.32,20,3,是,是,是,否,否,Markdown,2025-08-25T21:19:20.781412,high,medium,medium,Nearlink EB25 SIG,"competitions, documentation, Markdown, code, electronics"
energy-saving,competitions_new\2024\energy-saving,competitions,energy,34.39,36,10,是,是,是,否,否,Markdown,2025-08-25T21:19:21.236176,high,medium,medium,🌱 节能减排竞赛项目,"energy, competitions, documentation, Markdown, code"
2024节能减排大赛_Nearlink小车,competitions_new\2024\energy-saving\2024节能减排大赛_Nearlink小车,competitions,energy,34.37,35,9,是,是,是,否,否,Markdown,2025-08-25T21:19:21.235176,high,medium,medium,节能减排大赛,"energy, competitions, documentation, Markdown, code"
huawei-cloud-ai,competitions_new\2024\huawei-cloud-ai,competitions,ai,0.02,3,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.240180,low,low,easy,🤖 人工智能竞赛项目,"competitions, documentation, Markdown, code, ai"
2024华为云（化工行业人工智能应用）,competitions_new\2024\huawei-cloud-ai\2024华为云（化工行业人工智能应用）,competitions,ai,0.01,2,1,是,是,是,否,否,Markdown,2025-08-25T21:19:21.239176,low,low,easy,**2024华为云（化工行业人工智能应用）**,"competitions, documentation, Markdown, code, ai"
iot-design,competitions_new\2024\iot-design,competitions,iot,2.17,8,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.261533,medium,low,easy,🌐 物联网设计竞赛项目,"competitions, iot, documentation, Markdown, code"
2024物联网设计竞赛_Huawei数通,competitions_new\2024\iot-design\2024物联网设计竞赛_Huawei数通,competitions,iot,2.16,7,1,是,是,是,是,否,Markdown,2025-08-25T21:19:21.261533,medium,low,easy,iot类竞赛项目,"competitions, iot, documentation, Markdown, code"
robocon,competitions_new\2024\robocon,competitions,robotics,5.73,12,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.290000,medium,low,medium,🤖 机器人竞赛项目,"competitions, robotics, documentation, Markdown, code"
2024全国机器人竞赛_ROBOCON,competitions_new\2024\robocon\2024全国机器人竞赛_ROBOCON,competitions,robotics,5.73,11,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.277000,medium,low,medium,**2024全国机器人竞赛_ROBOCON**,"competitions, robotics, documentation, Markdown, code"
smart-car,competitions_new\2024\smart-car,competitions,robotics,1.79,10,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.305243,medium,low,easy,🚗 智能车竞赛项目,"competitions, robotics, documentation, Markdown, code"
2024智能车室外赛比赛,competitions_new\2024\smart-car\2024智能车室外赛比赛,competitions,robotics,1.78,9,1,是,是,是,是,否,Markdown,2025-08-25T21:19:21.304242,medium,low,easy,robotics类竞赛项目,"competitions, robotics, documentation, Markdown, code"
2025节能减排大赛_Duma人形机器人,competitions_new\2025\energy-saving\2025节能减排大赛_Duma人形机器人,competitions,energy,0.00,4,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.307243,low,low,easy,节能减排国赛,"energy, competitions, documentation, Markdown, code"
2025全国机器人竞赛_ROBOCON,competitions_new\2025\robocon\2025全国机器人竞赛_ROBOCON,competitions,robotics,39.02,37,12,是,是,是,是,否,Markdown,2025-08-25T21:19:21.525803,high,medium,medium,robotics类竞赛项目,"competitions, robotics, documentation, Markdown, code"
2025 交通设计大赛_开源,competitions_new\2025\traffic-design\2025 交通设计大赛_开源,competitions,iot,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.526464,low,low,easy,基于星闪模块的低功耗人形机器人交通场景通信策略,"competitions, iot, documentation, Markdown, code"
ai,projects\ai,projects,ai,0.31,6,2,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.528464,low,low,easy,🤖 人工智能项目 (AI Projects),"documentation, YAML, Markdown, projects, code, ai"
20250319流体工作站,projects\ai\energy-monitoring\20250319流体工作站,projects,ai,0.30,5,0,是,是,是,是,否,"Markdown, YAML",2025-09-09T00:37:26.373106,low,low,easy,🏭 流体工作站智能监控系统,"documentation, YAML, Markdown, projects, code, ai"
embedded,projects\embedded,projects,embedded,3.58,15,4,是,是,是,否,否,Markdown,2025-08-25T21:19:21.531066,medium,low,medium,嵌入式系统项目 (Embedded Projects),"documentation, Markdown, projects, code, embedded"
20250426星闪手柄,projects\embedded\nearlink\20250426星闪手柄,projects,embedded,3.57,14,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.537579,medium,low,medium,资料https://www.bearpi.cn/core_board/bearpi/bm/h63/,"documentation, Markdown, projects, code, embedded"
robotics,projects\robotics,projects,robotics,0.01,3,4,是,是,是,否,否,Markdown,2025-09-08T23:52:11.647972,low,low,easy,机器人技术项目 (Robotics Projects),"robotics, documentation, projects, Markdown, code"
250510飞控通讯,projects\robotics\250510飞控通讯,projects,robotics,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.556702,low,low,easy,250510飞控通讯,"robotics, documentation, projects, Markdown, code"
人形机器人主线,projects\robotics\humanoid-robot\人形机器人主线,projects,robotics,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.556702,low,low,easy,开源人形机器人：,"robotics, documentation, projects, Markdown, code"
templates,projects\templates,projects,templates,0.03,8,3,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.559951,low,low,easy,项目模板 (Project Templates),"documentation, YAML, projects, Markdown, templates, code"
ai_project_template,projects\templates\ai_project_template,projects,ai,0.02,6,1,是,是,是,否,否,"Markdown, YAML",2025-08-25T22:31:21.835942,low,low,easy,🤖 AI项目模板,"documentation, YAML, Markdown, projects, code, ai"
config,projects\templates\ai_project_template\config,projects,ai,0.00,1,0,否,是,否,否,否,YAML,2025-08-25T22:31:21.835942,low,low,easy,ai类开发项目,"projects, code, ai, YAML"
embedded_project_template,projects\templates\embedded_project_template,projects,embedded,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.559951,low,low,easy,[项目名称] - 嵌入式项目,"documentation, Markdown, projects, code, embedded"
科研「横向项目」,projects\科研「横向项目」,projects,research,8.88,39,15,是,是,是,是,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.629807,medium,medium,hard,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
3d-printing-sig,projects\科研「横向项目」\3d-printing-sig,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.561754,low,low,easy,🖨️ 3D打印成型组SIG(特殊兴趣小组),"documentation, research, Markdown, projects, code"
dexterous-hand,projects\科研「横向项目」\dexterous-hand,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.565995,low,low,easy,🦾 人形机器人UMI低成本灵巧手,"documentation, research, Markdown, projects, code"
mica-validation,projects\科研「横向项目」\mica-validation,projects,research,0.06,20,10,是,是,是,否,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.626764,low,medium,medium,🔬 MICA关键性验证项目,"Makefile, Python, documentation, research, projects, Markdown, code"
docs,projects\科研「横向项目」\mica-validation\docs,projects,research,0.03,7,2,否,是,是,否,否,"Makefile, Markdown, Python",2025-08-25T21:19:21.623302,low,medium,easy,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
meta-rtthread,projects\科研「横向项目」\mica-validation\meta-rtthread,projects,research,0.01,5,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.627796,low,low,easy,RT-Thread 构建支持,"documentation, research, Markdown, projects, code"
pneumatic-system,projects\科研「横向项目」\pneumatic-system,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.629807,low,low,easy,⚙️ 气缸控制系统,"documentation, research, Markdown, projects, code"
ai,projects_new\ai,projects,ai,0.31,6,2,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.528464,low,low,easy,🤖 人工智能项目 (AI Projects),"documentation, YAML, Markdown, projects, code, ai"
20250319流体工作站,projects_new\ai\energy-monitoring\20250319流体工作站,projects,ai,0.30,5,0,是,是,是,是,否,"Markdown, YAML",2025-09-09T00:37:26.373106,low,low,easy,🏭 流体工作站智能监控系统,"documentation, YAML, Markdown, projects, code, ai"
embedded,projects_new\embedded,projects,embedded,3.58,15,4,是,是,是,否,否,Markdown,2025-08-25T21:19:21.531066,medium,low,medium,嵌入式系统项目 (Embedded Projects),"documentation, Markdown, projects, code, embedded"
20250426星闪手柄,projects_new\embedded\nearlink\20250426星闪手柄,projects,embedded,3.57,14,2,是,是,是,否,否,Markdown,2025-08-25T21:19:21.537579,medium,low,medium,资料https://www.bearpi.cn/core_board/bearpi/bm/h63/,"documentation, Markdown, projects, code, embedded"
research,projects_new\research,projects,research,8.88,39,15,是,是,是,是,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.629807,medium,medium,hard,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
3d-printing-sig,projects_new\research\3d-printing-sig,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.561754,low,low,easy,🖨️ 3D打印成型组SIG(特殊兴趣小组),"documentation, research, Markdown, projects, code"
dexterous-hand,projects_new\research\dexterous-hand,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.565995,low,low,easy,🦾 人形机器人UMI低成本灵巧手,"documentation, research, Markdown, projects, code"
mica-validation,projects_new\research\mica-validation,projects,research,0.06,20,10,是,是,是,否,否,"Makefile, Markdown, Python, YAML",2025-08-25T21:19:21.626764,low,medium,medium,🔬 MICA关键性验证项目,"Makefile, Python, documentation, research, projects, Markdown, code"
docs,projects_new\research\mica-validation\docs,projects,research,0.03,7,2,否,是,是,否,否,"Makefile, Markdown, Python",2025-08-25T21:19:21.623302,low,medium,easy,research类开发项目,"Makefile, Python, documentation, research, projects, Markdown, code"
meta-rtthread,projects_new\research\mica-validation\meta-rtthread,projects,research,0.01,5,3,是,是,是,否,否,Markdown,2025-08-25T21:19:21.627796,low,low,easy,RT-Thread 构建支持,"documentation, research, Markdown, projects, code"
pneumatic-system,projects_new\research\pneumatic-system,projects,research,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.629807,low,low,easy,⚙️ 气缸控制系统,"documentation, research, Markdown, projects, code"
robotics,projects_new\robotics,projects,robotics,0.01,3,4,是,是,是,否,否,Markdown,2025-09-08T23:52:11.647972,low,low,easy,机器人技术项目 (Robotics Projects),"robotics, documentation, projects, Markdown, code"
250510飞控通讯,projects_new\robotics\250510飞控通讯,projects,robotics,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.556702,low,low,easy,250510飞控通讯,"robotics, documentation, projects, Markdown, code"
人形机器人主线,projects_new\robotics\humanoid-robot\人形机器人主线,projects,robotics,0.00,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.556702,low,low,easy,开源人形机器人：,"robotics, documentation, projects, Markdown, code"
templates,projects_new\templates,projects,templates,0.03,8,3,是,是,是,否,否,"Markdown, YAML",2025-08-25T21:19:21.559951,low,low,easy,项目模板 (Project Templates),"documentation, YAML, projects, Markdown, templates, code"
ai_project_template,projects_new\templates\ai_project_template,projects,ai,0.02,6,1,是,是,是,否,否,"Markdown, YAML",2025-08-25T22:31:21.835942,low,low,easy,🤖 AI项目模板,"documentation, YAML, Markdown, projects, code, ai"
config,projects_new\templates\ai_project_template\config,projects,ai,0.00,1,0,否,是,否,否,否,YAML,2025-08-25T22:31:21.835942,low,low,easy,ai类开发项目,"projects, code, ai, YAML"
embedded_project_template,projects_new\templates\embedded_project_template,projects,embedded,0.01,1,0,是,是,是,否,否,Markdown,2025-08-25T21:19:21.559951,low,low,easy,[项目名称] - 嵌入式项目,"documentation, Markdown, projects, code, embedded"
Image,shared\images\Image,shared,assets,15.67,15,0,是,是,是,是,否,Markdown,2025-09-18T01:48:24.402906,low,medium,medium,🖼️ 核心图片资源库,"documentation, shared, Markdown, code, assets"
screenshots,shared\images\screenshots,shared,assets,0.45,2,0,是,否,否,是,否,,2025-08-25T21:19:21.816066,low,low,easy,共享assets资源,"shared, assets"
models,shared\models,shared,models,48.37,9,0,是,是,是,否,是,Markdown,2025-08-25T21:19:22.254011,low,medium,medium,📐 3D模型资源库,"documentation, shared, Markdown, models, code"
Image,shared_new\assets\images\Image,shared,assets,15.67,15,0,是,是,是,是,否,Markdown,2025-09-18T01:48:24.402906,low,medium,medium,🖼️ 核心图片资源库,"documentation, shared, Markdown, code, assets"
screenshots,shared_new\assets\images\screenshots,shared,assets,0.45,2,0,是,否,否,是,否,,2025-08-25T21:19:21.816066,low,low,easy,共享assets资源,"shared, assets"
models,shared_new\models,shared,models,48.37,9,0,是,是,是,否,是,Markdown,2025-08-25T21:19:22.254011,low,medium,medium,📐 3D模型资源库,"documentation, shared, Markdown, models, code"
competition,templates\competition,competitions,other,0.01,1,0,是,否,否,否,否,,2025-09-18T02:20:47.971108,low,low,easy,other类竞赛项目,"other, competitions"
documentation,templates\documentation,docs,other,0.01,1,0,是,否,否,否,否,,2025-09-18T02:23:05.577451,medium,low,easy,other类文档,"other, docs"
project,templates\project,projects,templates,0.02,4,0,是,否,否,否,否,,2025-09-18T02:20:21.024044,low,low,easy,templates类开发项目,"templates, projects"
research,templates\research,infrastructure,templates,0.02,1,0,是,否,否,否,否,,2025-09-18T02:21:35.706888,low,low,easy,templates类基础设施,"templates, infrastructure"
